1,2,3,4,5,Dataset,Data Type,Model Type
0.2728019792121493,0.1992041550926691,-1.7691801811538528,-1.9516400383439674,0.1762240620224239,MIT,Thermodynamic Parameters,SVM
-0.3473143807438275,-0.28101398169924674,-0.3317990460088287,-0.31442199448849717,-0.32361565408938064,MIT,Thermodynamic Parameters,Decision Tree
0.315924504292886,0.34225730272849575,0.17261957546119588,0.31721788580050525,0.30667153420079407,MIT,Thermodynamic Parameters,MLP
0.33626161351094597,0.3600033280164818,0.3418892611441571,0.3528886951242898,0.3131312153616551,MIT,Thermodynamic Parameters,Random Forest
0.3142770385665379,0.3427108764129305,0.31314077344555247,0.32584309492810437,0.3019356652271693,MIT,Thermodynamic Parameters,Linear
-3.0002861736280444e+20,-8.069958531502876e+24,-1.0899657847906735e+21,-2.5741813945862795e+19,-1.8617488206491537e+20,MIT,Thermodynamic Parameters,SGD
0.31450133293614246,0.342500496527824,0.31318211689324027,0.32576591203144434,0.30208073491115783,MIT,Thermodynamic Parameters,Bayesian Ridge
0.3849037170534022,0.3983983727681787,0.3743356180784535,0.3907909871706481,0.3470690399081242,MIT,Sequences,SVM
-0.24801536412545236,-0.221202675086835,-0.310554399825987,-0.2586234529169702,-0.2563971349304206,MIT,Sequences,Decision Tree
0.6284089475672607,0.583754728643158,0.6163259143893672,0.5986378821506242,0.5479718122753487,MIT,Sequences,MLP
0.4304055472933246,0.4228224624004973,0.4138134191627971,0.4203777070671609,0.3948173100955178,MIT,Sequences,Random Forest
0.4063242137133073,0.41241475301678654,0.39130971809438764,0.40334470045105053,0.37467149897356733,MIT,Sequences,Linear
0.3629299253229985,0.371120002640439,0.3931200047196721,0.39635240485800816,0.37127535876951046,MIT,Sequences,SGD
0.4073858093450876,0.4147739329573069,0.39840892283465734,0.40436794516177577,0.3762186157933691,MIT,Sequences,Bayesian Ridge
-1.3072154978713166,-1.6874513811239975,0.13697456886767456,-0.3801650374179826,-0.14363534447160542,Fernandez,Thermodynamic Parameters,SVM
-0.3595586993243245,-19.05984272109557,-3.257124998577912,-1.572878768914713,-0.7369231402577083,Fernandez,Thermodynamic Parameters,Decision Tree
-12.460502532261259,-9.620914591491255,-5.1997598860439584,-0.4690490722013072,-1.6417460233528187,Fernandez,Thermodynamic Parameters,MLP
-0.326832208969595,-4.445336726722978,-0.9092614071750906,-0.562825779765233,-1.4023121361821205,Fernandez,Thermodynamic Parameters,Random Forest
-88.17935970638679,-6.251578479120028,-0.3617661948362397,-0.4138286771908908,-4.140535085447641,Fernandez,Thermodynamic Parameters,Linear
-4.727196092067313e+26,-6.58523148436926e+28,-3.8087903382619333e+27,-1.4926342384300752e+26,-1.6141383732043592e+28,Fernandez,Thermodynamic Parameters,SGD
-0.3026025659320333,-5.834142973812613,-0.6545089726085443,-0.13621561541838867,-1.9241984938873826,Fernandez,Thermodynamic Parameters,Bayesian Ridge
-0.3710960862800097,-19.074697062370305,-8.1418371049395,-0.7180535817825133,-9.48367178595866,Fernandez,Sequences,SVM
-0.3080524493243244,-63.841735314951336,-6.1270385222056625,-0.5697156065187219,-5.344226256638262,Fernandez,Sequences,Decision Tree
-0.37969327315495915,-4.373683339218273,-5.609707676674658,-0.6269315150415451,-2.2381762665332174,Fernandez,Sequences,MLP
-0.2820376483614866,-11.40726049374295,-2.9989240461131477,0.015968467867683245,-3.654299936602032,Fernandez,Sequences,Random Forest
-0.12211952571924667,-97.95826798575204,-43.43311913649349,-3.6860206936211224,-73.56088635319782,Fernandez,Sequences,Linear
-0.5240157356602617,-14.364282762600261,-3.4738321876028397,-0.41933614761948923,-4.537224413353102,Fernandez,Sequences,SGD
-0.3672382462125992,-7.606178547846557,-2.0644304871870567,-0.18695512578997375,-3.172093985031146,Fernandez,Sequences,Bayesian Ridge
